DateTime,Log Description,Action
2023-10-13 11:44:34.956785,BMS Reset by operator,N/A
2023-11-20 09:29:38.848033,BMS Reset by operator,N/A
2023-11-21 13:04:18.051722,BMS Reset by operator,N/A
2023-11-21 13:04:18.694880,BMS Reset by operator,N/A
2023-11-21 13:04:18.994862,BMS Reset by operator,N/A
2023-11-21 13:04:19.116792,BMS Reset by operator,N/A
2023-11-21 13:05:56.129119,BMS Reset by operator,N/A
2023-11-21 13:05:57.194824,BMS Reset by operator,N/A
2023-11-21 13:05:58.447631,BMS Reset by operator,N/A
2023-11-21 13:06:00.666304,BMS Reset by operator,N/A
2023-11-21 13:06:01.184735,BMS Reset by operator,N/A
2023-11-21 13:06:01.357163,BMS Reset by operator,N/A
2023-11-21 13:06:13.605470,BMS Reset by operator,N/A
2023-11-21 13:06:30.734523,BMS Reset by operator,N/A
